Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2019-01-01,7.3540450895,7.3289553122,7.3541147718,7.3281458818
NEO,2019-01-02,7.5451035852,7.4012759146,7.6485508982,7.2749944715
NEO,2019-01-03,7.9576473813,7.5451035852,8.0080530823,7.5370647505
NEO,2019-01-04,7.5895647564,7.9576473813,8.0364997048,7.4654694182
NEO,2019-01-05,7.526237509,7.5836734032,7.6552355938,7.3443392377
NEO,2019-01-06,7.7780797511,7.526237509,7.8939999931,7.5262303039
NEO,2019-01-07,8.5626574429,7.7823949784,8.7817083603,7.5996369526
NEO,2019-01-08,8.3632586641,8.5811801729,8.9223307777,6.6109625875
NEO,2019-01-09,9.0350027336,8.3632684638,9.3981573092,8.2180668792
NEO,2019-01-10,9.0179733606,9.0540385753,9.6734019813,8.9918597389
NEO,2019-01-11,7.74295262,9.0179670797,9.4358569032,7.480719253
NEO,2019-01-12,7.7430274088,7.7425301984,7.9935198255,7.5804697182
NEO,2019-01-13,7.648134286,7.7556938094,7.8163623383,7.5578032225
NEO,2019-01-14,7.0074750421,7.623235877,7.7177430374,6.9251697054
NEO,2019-01-15,7.7566912867,7.0076892445,7.8967997098,6.9870311395
NEO,2019-01-16,7.391345796,7.7549939606,7.9125052094,7.2915114998
NEO,2019-01-17,7.5916148607,7.3913865886,7.835165349,7.3848499791
NEO,2019-01-18,7.6639173291,7.5812539658,7.7102551553,7.3291531885
NEO,2019-01-19,7.5383950198,7.6641017604,7.7460759306,7.4422634879
NEO,2019-01-20,7.9920904334,7.5383090603,8.2790890592,7.5179152857
NEO,2019-01-21,7.4839808665,7.9310762975,8.064995816,7.2411659102
NEO,2019-01-22,7.3726682742,7.4840448422,7.5371973153,7.280179243
NEO,2019-01-23,7.6040475626,7.3728866623,7.7196599869,7.0962974378
NEO,2019-01-24,7.4239852066,7.6002604959,7.6419690012,7.3783378334
NEO,2019-01-25,7.611974678,7.4678550829,7.6722205632,7.3726284296
NEO,2019-01-26,7.5089638165,7.6385284565,7.6415558297,7.3970526953
NEO,2019-01-27,7.4155477089,7.5089531269,7.6454005523,7.3875731727
NEO,2019-01-28,7.3656654548,7.4155684985,7.5138259211,7.1141428552
NEO,2019-01-29,6.8927788907,7.2881450427,7.3266926587,6.7097423841
NEO,2019-01-30,6.9597506973,6.9056582999,7.0927452408,6.6625078435
NEO,2019-01-31,7.0202003464,6.9589576817,7.0792973973,6.7451659937
