Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-04-12,1.8935025121,2.0632572646,2.0693664082,1.7938062797
LSK,2019-04-13,1.9440979984,1.894421687,1.9458344333,1.8153361995
LSK,2019-04-14,1.9628301411,1.9440979984,2.0314773554,1.9243270817
LSK,2019-04-15,2.0021254074,1.9708295143,2.0091358204,1.9303806371
LSK,2019-04-16,1.937781915,2.0088490691,2.0698522634,1.9130565012
LSK,2019-04-17,2.0346615818,1.937781915,2.0467183023,1.9280853545
LSK,2019-04-18,2.0125277202,2.0346615818,2.062128633,2.0082462383
LSK,2019-04-19,2.0318337357,2.0085836848,2.0559133265,1.9788399586
LSK,2019-04-20,2.0298473195,2.0500613176,2.0774407992,2.0094185825
LSK,2019-04-21,2.0324412386,2.0298473195,2.0879097517,2.0154600327
LSK,2019-04-22,1.9961014929,2.0324412386,2.0485528352,1.9366439365
LSK,2019-04-23,2.0170906416,1.9833775697,2.0334224007,1.95706568
LSK,2019-04-24,1.9495357709,2.0170906416,2.0776953022,1.9326411586
LSK,2019-04-25,1.8612695275,1.9495357709,1.9644777272,1.8158493223
LSK,2019-04-26,1.7348640956,1.8612695275,1.8896243608,1.6757509251
LSK,2019-04-27,1.7015123803,1.7242606508,1.7676296195,1.66639343
LSK,2019-04-28,1.7649716516,1.7015123803,1.7708609868,1.6969185928
LSK,2019-04-29,1.6871197728,1.7649716516,1.7662890516,1.6736680372
LSK,2019-04-30,1.6608936984,1.6844236557,1.7063917323,1.6273707948
LSK,2019-05-01,1.710503878,1.6608936984,1.7105038781,1.617312107
LSK,2019-05-02,1.7181370963,1.710503878,1.7580519901,1.6990690627
LSK,2019-05-03,1.7071707689,1.7245518848,1.7260802274,1.688727622
LSK,2019-05-04,1.7537975613,1.7071707689,1.8125153963,1.7067305978
LSK,2019-05-05,1.737588432,1.7638136551,1.7841907384,1.6827028272
LSK,2019-05-06,1.6501461259,1.7260469073,1.7335131121,1.6410992535
LSK,2019-05-07,1.6931278374,1.6501461259,1.7013266806,1.5968158061
LSK,2019-05-08,1.6567037815,1.6931278374,1.7577229913,1.629839889
LSK,2019-05-09,1.6813165677,1.6121101076,1.6845019763,1.592568624
LSK,2019-05-10,1.7380185568,1.6813165677,1.7786662043,1.665360063
LSK,2019-05-11,1.7977177259,1.7385500328,1.8845508413,1.7327453646
LSK,2019-05-12,1.9840741983,1.7839613255,2.0174956918,1.7557794193
LSK,2019-05-13,1.7749149244,1.9846294161,2.0238732923,1.7334902226
LSK,2019-05-14,1.8072715691,1.7749149244,2.0068329438,1.7455476566
LSK,2019-05-15,1.8689860406,1.8072715691,1.9603584292,1.7766526471
LSK,2019-05-16,2.0858212781,1.8800023882,2.33974914,1.8653744178
LSK,2019-05-17,2.1538864876,2.0858198973,2.4419644682,2.033454196
LSK,2019-05-18,1.9630110591,2.1538864876,2.1789326717,1.7998083075
LSK,2019-05-19,1.9387547746,1.9630110591,2.0118534685,1.869352249
LSK,2019-05-20,2.0654640037,1.9363222921,2.1403070444,1.9354702637
LSK,2019-05-21,1.9975811404,2.0654640037,2.0786047613,1.5157486233
LSK,2019-05-22,2.0174755998,1.998028273,2.0708677963,1.9718486939
LSK,2019-05-23,1.8854000537,2.0174156453,2.0529527144,1.8466140726
LSK,2019-05-24,1.8871463454,1.8855231232,1.9426185242,1.82749401
LSK,2019-05-25,1.9117248392,1.8873116099,2.016717239,1.8738151193
LSK,2019-05-26,1.9899777498,1.9216801386,2.1667103933,1.9109857635
